星星数量	奖励
starNum	award
Int	Award
9	material.200021:5
18	material.200022:5
27	material.200023:5
36	material.200024:3
45	material.200025:2
54	material.200026:1
63	equip.905001.0:1
68	equip.901001.0:1
73	equip.904001.0:1
78	equip.906001.0:1
83	equip.903001.0:1
88	equip.902001.0:1
93	equip.905002.0:1
98	equip.901002.0:1
103	equip.904002.0:1
108	equip.906002.0:1
113	equip.903002.0:1
118	equip.902002.0:1
123	equip.905003.0:1
128	equip.901003.0:1
133	equip.904003.0:1
138	equip.906003.0:1
143	equip.903003.0:1
148	equip.902003.0:1
153	equip.905004.0:1
158	equip.901004.0:1
163	equip.904004.0:1
168	equip.906004.0:1
173	equip.903004.0:1
178	equip.902004.0:1
183	equip.905005.0:1
186	equip.901005.0:1
189	equip.904005.0:1
192	equip.906005.0:1
195	equip.903005.0:1
198	equip.902005.0:1
