编号	星星数量	奖励	消耗
id	starNum	award	cost
Int	Int	Award	Award
1	9	material.200021:5	user.tower:-10
2	18	material.200022:5	user.tower:-24
3	21	material.200023:5	user.tower:-29
4	24	material.200024:3	user.tower:-35
5	27	equip.905001.0:1	user.tower:-40
6	30	equip.901001.0:1	user.tower:-47
7	33	equip.904001.0:1	user.tower:-53
8	36	equip.906001.0:1	user.tower:-60
9	42	equip.903001.0:1	user.tower:-80
10	48	equip.902001.0:1	user.tower:-100
11	54	material.200025:2	user.tower:-130
12	60	material.200026:1	user.tower:-150
13	66	equip.905002.0:1	user.tower:-180
14	72	equip.901002.0:1	user.tower:-220
15	78	equip.904002.0:1	user.tower:-250
16	84	equip.906002.0:1	user.tower:-290
17	90	equip.903002.0:1	user.tower:-330
18	96	equip.902002.0:1	user.tower:-380
19	102	material.200003:20	user.tower:-430
20	108	material.1:2000	user.tower:-500
21	114	material.300001:2000	user.tower:-570
22	120	material.200031:1	user.tower:-640
23	126	equip.905003.0:1	user.tower:-720
24	132	equip.901003.0:1	user.tower:-790
25	138	equip.904003.0:1	user.tower:-870
26	143	equip.906003.0:1	user.tower:-910
27	148	equip.903003.0:1	user.tower:-1000
28	153	equip.902003.0:1	user.tower:-1080
29	158	material.200058:80	user.tower:-1150
30	163	material.200040:1	user.tower:-1200
31	168	material.200027:160	user.tower:-1300
32	173	material.200039:4	user.tower:-1350
33	178	equip.905004.0:1	user.tower:-1450
34	183	equip.901004.0:1	user.tower:-1600
35	188	equip.904004.0:1	user.tower:-1650
36	193	equip.906004.0:1	user.tower:-1850
37	198	equip.903004.0:1	user.tower:-2100
38	203	equip.902004.0:1	user.tower:-2250
39	208	material.200059:100	user.tower:-2600
40	213	material.200041:1	user.tower:-3050
41	218	material.200027:240	user.tower:-3250
42	223	material.200010:15	user.tower:-3750
43	228	material.1:6000	user.tower:-4350
44	233	material.300001:6000	user.tower:-4650
45	238	equip.905005.0:1	user.tower:-5300
46	243	equip.901005.0:1	user.tower:-6000
47	248	equip.904005.0:1	user.tower:-7100
48	253	equip.906005.0:1	user.tower:-9350
49	258	equip.903005.0:1	user.tower:-11750
50	263	equip.902005.0:1	user.tower:-12950
51	268	material.200060:160	user.tower:-15500
52	273	material.200042:1	user.tower:-18150
53	278	material.200027:400	user.tower:-19550
54	283	material.200010:25	user.tower:-22350
55	288	user.cash:500	user.tower:-25300
56	293	material.200060:300	user.tower:-26850
57	298	material.200043:1	user.tower:-29950
58	303	material.200010:40	user.tower:-33200
59	306	user.cash:1000	user.tower:-34850
60	309	material.200106:1	user.tower:-36550
