坐骑id	砸蛋进度	碎片1属性类型	碎片1属性加成(万一)	碎片2属性类型	碎片2属性加成	碎片3属性类型	碎片3属性加成	碎片4属性类型	碎片4属性加成	资源路径
id	active	attr1	value1	attr2	value2	attr3	value3	attr4	value4	url
Int	Int2	Int	Int	Int	Int	Int	Int	Int	Int	String
1	0	1	0	2	0	3	0	4	0	ma_dan6
2	0	1	0	2	0	3	0	4	0	huolong_dan0
2	1	1	8	2	5	3	5	4	93	playerskill_huolong
3	0	1	0	2	0	3	0	4	0	zulong_dan2
3	1	1	0	2	0	3	0	4	0	zulong_dan4
3	2	1	0	2	0	3	0	4	0	zulong_dan5
3	3	1	57	2	33	3	33	4	661	playerskill_zulong
4	0	1	0	2	0	3	0	4	0	binglong_dan2
4	1	1	0	2	0	3	0	4	0	binglong_dan4
4	2	1	0	2	0	3	0	4	0	binglong_dan5
4	3	1	120	2	67	3	67	4	1373	playerskill_binglong
5	0	1	0	2	0	3	0	4	0	leilong_dan2
5	1	1	0	2	0	3	0	4	0	leilong_dan4
5	2	1	0	2	0	3	0	4	0	leilong_dan5
5	3	1	193	2	112	3	112	4	2230	playerskill_leilong
6	0	1	0	2	0	3	0	4	0	lanlong_dan2
6	1	1	0	2	0	3	0	4	0	lanlong_dan4
6	2	1	0	2	0	3	0	4	0	lanlong_dan5
6	3	1	279	2	162	3	162	4	3234	playerskill_lanlong
7	0	1	0	2	0	3	0	4	0	benglong_dan2
7	1	1	0	2	0	3	0	4	0	benglong_dan4
7	2	1	0	2	0	3	0	4	0	benglong_dan5
7	3	1	378	2	219	3	219	4	4382	playerskill_benglong
8	0	1	0	2	0	3	0	4	0	xunlong_dan2
8	1	1	0	2	0	3	0	4	0	xunlong_dan4
8	2	1	0	2	0	3	0	4	0	xunlong_dan5
8	3	1	490	2	285	3	285	4	5676	playerskill_xunlong
9	0	1	0	2	0	3	0	4	0	canglong_dan2
9	1	1	0	2	0	3	0	4	0	canglong_dan4
9	2	1	0	2	0	3	0	4	0	canglong_dan5
9	3	1	615	2	356	3	356	4	7111	playerskill_canglong
10	0	1	0	2	0	3	0	4	0	honglong_dan2
10	1	1	0	2	0	3	0	4	0	honglong_dan4
10	2	1	0	2	0	3	0	4	0	honglong_dan5
10	3	1	750	2	435	3	435	4	8696	playerskill_honglong
11	0	1	0	2	0	3	0	4	0	baolong_dan2
11	1	1	0	2	0	3	0	4	0	baolong_dan4
11	2	1	0	2	0	3	0	4	0	baolong_dan5
11	3	1	1044	2	605	3	605	4	12093	playerskill_baolong
