玩家等级下限	关卡名称	战斗id	1星掉落ID	2星掉落ID	3星掉落ID	展示掉落ID	展示宝箱ID
level	name	trialId	dropId1	dropId2	dropId3	showdropId	showAward
Int	String	Int	Int	Int	Int	Int	Award
1	难度1	60001	5013	5014	5015	5025	material.200077:1
10	难度2	60001	5013	5014	5015	5025	material.200077:1
20	难度3	60002	5013	5014	5015	5025	material.200077:1
30	难度4	60003	5013	5014	5015	5025	material.200077:1
40	难度5	60004	5013	5014	5015	5025	material.200077:1
50	难度6	60005	5026	5027	5028	5031	material.200093:1
60	难度7	60006	5032	5033	5034	5037	material.200096:1
70	难度8	60007	5038	5039	5040	5043	material.200099:1
80	难度9	60008	5044	5045	5046	5049	material.200102:1
90	难度10	60009	5050	5051	5052	5055	material.200105:1
100	难度11	60009	5050	5051	5052	5055	material.200105:1
