玩家等级下限	硬币玩法奖励基础积分	每日奖励领取需求积分	每日奖励掉落ID	神秘宝藏奖励	怪人难度参数范围	怪人星级权重	怪人星级奖励积分	怪人名称	怪人形象	商人商品组ID	成就ID
level	coinBaseAward	dayAwardNeedIntegral	dayAwardLootId	goldAward	crackpotDegree	crackpotStarWeight	crackpotAwardIntegral	crackpotName	crackpotPicture	businessmanAwardId	achievementId
Int	Int	Int	Int	Award	Ints	Ints	Ints	Strings	Strings	Int	Int
1	300	900	300301	user.bindcash:5	0.8|0.8	6|3|1	200|300|500	text_trial_crackpotName1|text_trial_crackpotName2|text_trial_crackpotName3	qibing2.png|qibing3.png|qibing4.png	1	1
61	300	900	300302	user.bindcash:5	0.8|0.8	6|3|1	200|300|500	text_trial_crackpotName1|text_trial_crackpotName2|text_trial_crackpotName3	qibing2.png|qibing3.png|qibing4.png	1	1
71	300	900	300303	user.bindcash:5	0.8|0.8	6|3|1	200|300|500	text_trial_crackpotName1|text_trial_crackpotName2|text_trial_crackpotName3	qibing2.png|qibing3.png|qibing4.png	1	1
81	300	900	300304	user.bindcash:5	0.8|0.8	6|3|1	200|300|500	text_trial_crackpotName1|text_trial_crackpotName2|text_trial_crackpotName3	qibing2.png|qibing3.png|qibing4.png	1	1
91	300	900	300305	user.bindcash:5	0.8|0.8	6|3|1	200|300|500	text_trial_crackpotName1|text_trial_crackpotName2|text_trial_crackpotName3	qibing2.png|qibing3.png|qibing4.png	1	1
101	300	900	300306	user.bindcash:5	0.8|0.8	6|3|1	200|300|500	text_trial_crackpotName1|text_trial_crackpotName2|text_trial_crackpotName3	qibing2.png|qibing3.png|qibing4.png	1	1
111	300	900	300307	user.bindcash:5	0.8|0.8	6|3|1	200|300|500	text_trial_crackpotName1|text_trial_crackpotName2|text_trial_crackpotName3	qibing2.png|qibing3.png|qibing4.png	1	1
121	300	900	300308	user.bindcash:5	0.8|0.8	6|3|1	200|300|500	text_trial_crackpotName1|text_trial_crackpotName2|text_trial_crackpotName3	qibing2.png|qibing3.png|qibing4.png	1	1
131	300	900	300309	user.bindcash:5	0.8|0.8	6|3|1	200|300|500	text_trial_crackpotName1|text_trial_crackpotName2|text_trial_crackpotName3	qibing2.png|qibing3.png|qibing4.png	1	1
141	300	900	300310	user.bindcash:5	0.8|0.8	6|3|1	200|300|500	text_trial_crackpotName1|text_trial_crackpotName2|text_trial_crackpotName3	qibing2.png|qibing3.png|qibing4.png	1	1
