编号	名称	日志用名称	类别	是否记录	品质	特效方案	货币描述	图标	资源条编号	是否显示加号	是否显示Tips	前往查看	获取途径	描述
id	name	logName	category	record	quality	showeffect	typeDesc	icon	rBarIndex	showGetway	showTips	goto	getway	desc
String	String	String	String	Int	Int	Int	String	String	Int	String	Int	String	Ints	String
gold	text_userName_gold	text_userLogName_gold	gold	1	0	0	text_userTypeDesc1	gold.png	2	altar1	1	0	1801	text_userDesc_gold
cash	text_userName_cash	text_userLogName_cash	cash	1	0	0	text_userTypeDesc1	cash.png	3	cash	1	0	1	text_userDesc_cash
bindcash	text_userName_bindcash	text_userLogName_bindcash	bindcash	1	0	0	text_userTypeDesc1	bindcash.png	29	cash	1	0	1	text_userDesc_bindcash
mixcash	text_userName_mixcash	text_userLogName_mixcash	mixcash	1	0	0	text_userTypeDesc1	mixcash.png	34	cash	1	0	1	text_userDesc_mixcash
food	text_userName_food	text_userLogName_food	food	1	0	0	text_userTypeDesc1	food.png	1	0	1	0	0	text_userDesc_food
food_red	text_userName_food_red	text_userLogName_food_red	food_red	0	0	0	text_userTypeDesc1	food_red.png	37	0	1	0	0	text_userDesc_food_red
xp	text_userName_xp	text_userLogName_xp	xp	0	0	0	text_userTypeDesc1	xp.png	0	getway	0	0	601|102|602	text_userDesc_xp
hero_exp	text_userName_hero_exp	text_userLogName_hero_exp	hero_exp	0	0	0	text_userTypeDesc1	hero_exp.png	47	altar4	1	0	1804	text_userDesc_hero_exp
rune_exp	text_userName_rune_exp	text_userLogName_rune_exp	rune_exp	0	0	0	text_userTypeDesc1	rune_exp.png	30	getway	1	0	501|2101	text_userDesc_rune_exp
rune_crystal	text_userName_rune_crystal	text_userLogName_rune_crystal	rune_crystal	1	5	0	text_userTypeDesc1	rune_crystal.png	31	getway	1	0	501|2101	text_userDesc_rune_crystal
rune_crystal2	text_userName_rune_crystal2	text_userLogName_rune_crystal2	rune_crystal2	1	5	0	text_userTypeDesc1	rune_crystal2.png	42	getway	1	0	501|2101	text_userDesc_rune_crystal2
arena	text_userName_arena	text_userLogName_arena	arena	1	0	0	text_userTypeDesc1	arena.png	7	getway	1	shop:501	1001	text_userDesc_arena
active	text_userName_active	text_userLogName_active	active	1	0	0	text_userTypeDesc1	active.png	38	task	1	shop:401	901	text_userDesc_active
soul	text_userName_soul	text_userLogName_soul	soul	1	0	0	text_userTypeDesc1	soul.png	6	getway	1	shop:201	2001	text_userDesc_soul
godsoul	text_userName_godsoul	text_userLogName_godsoul	godsoul	1	6	16	text_userTypeDesc1	godsoul.png	32	0	1	shop:202	0	text_userDesc_godsoul
ntoken	text_userName_ntoken	text_userLogName_ntoken	ntoken	0	4	14	text_userTypeDesc1	recruit1.png	4	0	1	tavern	0	text_userDesc_ntoken
htoken	text_userName_htoken	text_userLogName_htoken	htoken	1	5	15	text_userTypeDesc1	recruit2.png	5	getway	1	tavern	10501	text_userDesc_htoken
legion	text_userName_legion	text_userLogName_legion	legion	1	0	0	text_userTypeDesc1	legion.png	9	getway	1	shop:701	1601|1602	text_userDesc_legion
legion_exp	text_userName_legion_exp	text_userLogName_legion_exp	legion_exp	0	0	0	text_userTypeDesc1	legion_exp.png	0	0	1	0	0	text_userDesc_legion_exp
legion_build	text_userName_legion_build	text_userLogName_legion_build	legion_build	0	0	0	text_userTypeDesc1	legion_build.png	0	0	1	0	0	text_userDesc_legion_build
legion_bonfire	text_userName_legion_bonfire	text_userLogName_legion_bonfire	legion_bonfire	0	0	0	text_userTypeDesc1	legion_bonfire.png	0	0	1	0	0	text_userDesc_legion_bonfire
legionwarscore	text_userName_legionwarscore	text_userLogName_legionwarscore	legionwarscore	0	0	0	text_userTypeDesc1	legionwarscore.png	41	0	1	0	0	text_userDesc_legionwarscore
smelt	text_userName_smelt	text_userLogName_smelt	smelt	1	0	0	text_userTypeDesc1	smelt.png	33	getway	1	shop:302	1901	text_userDesc_smelt
gtoken	text_userName_gtoken	text_userLogName_gtoken	gtoken	0	0	0	text_userTypeDesc1	g_token.png	35	0	1	0	0	text_userDesc_gtoken
atoken	text_userName_atoken	text_userLogName_atoken	atoken	0	0	0	text_userTypeDesc1	a_token.png	36	shop:101:1:3	1	0	10101	text_userDesc_atoken
egg	text_userName_egg	text_userLogName_egg	egg	0	0	0	text_userTypeDesc1	egg.png	0	0	1	0	0	text_userDesc_egg
