描述关键字	描述内容
key	desc
String	String
cash	text_vipDesc_cash
monthCard	text_vipDesc_monthCard
endVip	text_vipDesc_endVip
godShopRefresh	text_vipDesc_godShopRefresh
hardReset	text_vipDesc_hardReset
eliteReset	text_vipDesc_eliteReset
normalReset	text_vipDesc_normalReset
exploreAccelerateTimes	text_vipDesc_exploreAccelerateTimes
shopLimit1	text_vipDesc_shopLimit1
shopLimit2	text_vipDesc_shopLimit2
shopLimit3	text_vipDesc_shopLimit3
citycraftChallenge	text_vipDesc_citycraftChallenge
altar1	text_vipDesc_altar1
altar2	text_vipDesc_altar2
altar3	text_vipDesc_altar3
altar4	text_vipDesc_altar4
vipShop0	text_vipDesc_vipShop0
vipShop1	text_vipDesc_vipShop1
vipShop2	text_vipDesc_vipShop2
vipShop3	text_vipDesc_vipShop3
vipShop4	text_vipDesc_vipShop4
vipShop5	text_vipDesc_vipShop5
vipShop6	text_vipDesc_vipShop6
vipShop7	text_vipDesc_vipShop7
vipShop8	text_vipDesc_vipShop8
vipShop9	text_vipDesc_vipShop9
vipShop10	text_vipDesc_vipShop10
vipShop11	text_vipDesc_vipShop11
vipShop12	text_vipDesc_vipShop12
vipShop13	text_vipDesc_vipShop13
vipShop14	text_vipDesc_vipShop14
vipShop15	text_vipDesc_vipShop15
exploreMagicConversion2	text_vipDesc_exploreMagicConversion2
exploreMagicConversion5	text_vipDesc_exploreMagicConversion5
exploreMagicConversion9	text_vipDesc_exploreMagicConversion9
towerOneKey	text_vipDesc_towerOneKey
luckyDragon	text_vipDesc_luckyDragon
trialOneKey	text_vipDesc_trialOneKey
battleSpeedUp3	text_vipDesc_battleSpeedUp3
exploreBossImprove	text_vipDesc_exploreBossImprove
legionConstruct	text_vipDesc_legionConstruct
exploreTaskExtra	text_vipDesc_exploreTaskExtra
towerAgainTimes	text_vipDesc_towerAgainTimes
tavernNormalLimit	text_vipDesc_tavernNormalLimit
signAgain	text_vipDesc_signAgain
investment	text_vipDesc_investment
customWeal	text_vipDesc_customWeal
customWealOpen	text_vipDesc_customWealOpen
luckyWheelAdvOpen	text_vipDesc_luckyWheelAdvOpen
